MAE,RMSE,MdAE,MASE,MdASE
64.9949832648179,85.90670862295752,51.20481715749962,1.0068454797372726,0.7375853943942005
272.7274572217963,461.7942592213652,133.13942115961927,0.804417887807352,0.3876592657510752
540.8510798792475,1256.8077770864852,121.10546381321683,1.776345265270982,0.30119077437795727
540.447067953398,837.0526065850378,232.7266431481282,3.0686515090153548,1.8195984608923246
574.0112197433666,1520.8198822745271,35.426619252064874,5.544328111013503,0.3783884566308666
108.80836452400976,145.01397796536736,96.7545762172982,0.5061148416722359,0.5613842542343964
133.41834311932263,151.5478780701535,124.41426196695198,0.48000843000295973,0.6063073195270566
162.15398987277908,183.3082207948307,161.2780527443212,1.0657070601620309,1.2035675577934426
164.30986658717083,199.02036866202815,151.8974496933615,0.6056948358203696,0.6627288381036713
236.7608802087007,344.864013151524,162.29207509212233,0.6726161369565362,0.4098284724548545
