,MAE,RMSE,MdAE,MASE,MdASE
Linear Regression,1056.4341219297182,2612.2110354340775,422.8549640918374,0.7127105842989141,0.31116802076466027
Random Forest,188.79571095356988,354.0413870364789,87.16906829433981,0.12736875747733503,0.0641454606340113
